Model,Accuracy,Precision,Recall,F1,ROC_AUC
Decision Tree (gini),0.9812646370023419,0.9707495429616088,1.0,0.9851576994434137,0.9930938179613207
Decision Tree (entropy),0.977751756440281,0.9654545454545455,1.0,0.9824236817761333,0.9913854926448724
Decision Tree (log_loss),0.977751756440281,0.9654545454545455,1.0,0.9824236817761333,0.9913854926448724
