Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Complexity (nodes/rules),Max depth
Inductive Decision Tree,0.8888888888888888,0.8898809523809524,0.888888888888889,0.8887652947719689,13,4
EBL-inspired Rule Model,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,3,1
